date,page,p95_ms,samples_n,runner_region
2026-05-05,/,1582,5,California
2026-05-05,/posts/,1035,5,California
2026-05-05,/about/,1062,5,California
2026-05-11,/,10001,5,Virginia
2026-05-11,/posts/,7580,5,Virginia
2026-05-11,/about/,6033,5,Virginia
2026-05-18,/,1517,5,Illinois
2026-05-18,/posts/,1596,5,Illinois
2026-05-18,/about/,1440,5,Illinois
2026-05-25,/,2369,5,Virginia
2026-05-25,/posts/,1261,5,Virginia
2026-05-25,/about/,1339,5,Virginia
2026-06-01,/,1744,5,Illinois
2026-06-01,/posts/,1207,5,Illinois
2026-06-01,/about/,1386,5,Illinois
2026-06-08,/,1793,5,Wyoming
2026-06-08,/posts/,1456,5,Wyoming
2026-06-08,/about/,1297,5,Wyoming
2026-06-15,/,1552,5,Arizona
2026-06-15,/posts/,1156,5,Arizona
2026-06-15,/about/,1231,5,Arizona
2026-06-22,/,1844,5,Illinois
2026-06-22,/posts/,1384,5,Illinois
2026-06-22,/about/,1384,5,Illinois
